product_id,product_name,category,main_category,sub_category,discounted_price_clean,actual_price_clean,discount_pct_clean,rating_clean,rating_count_clean,economia_absoluta,faixa_preco,faixa_desconto,volume_reviews_bin,img_link,product_link,review_rows,PSI
B0BMZ6SY89,!!HANEUL!!1000 Watt/2000-Watt Room Heater!! Fan Heater!!Pure White!!HN-2500!!Made in India!!Thermoset!!,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",Home&Kitchen,"Heating,Cooling&AirQuality",899.0,1599.0,44.0,3.4,15.0,700.0,mid,medium,low,https://m.media-amazon.com/images/I/41OZjIUftuL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/HANEUL-2000-Watt-Heater-HN-2500-Thermoset/dp/B0BMZ6SY89/ref=sr_1_312?qid=1672923607&s=kitchen&sr=1-312,1,35.30641747344206
B0B4SJKRDF,Kitchenwell Multipurpose Portable Electronic Digital Weighing Scale Weight Machine | Weight Machine | 10 Kg,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,Home&Kitchen,Kitchen&HomeAppliances,239.0,239.0,0.0,4.3,7.0,0.0,budget,low,low,https://m.media-amazon.com/images/I/319gn5l2NSL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Kitchenwell-Multipurpose-Portable-Electronic-Scale/dp/B0B4SJKRDF/ref=sr_1_239?qid=1672923603&s=kitchen&sr=1-239,1,33.55975711047257
B0BL3R4RGS,VAPJA® Portable Mini Juicer Cup Blender USB Rechargeable with 4 Blades for Shakes and Smoothies Fruits Vegetables Juice Maker Grinder Mixer Strong Cutting Bottle Sports Travel Outdoors Gym (BOTTLE),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,Home&Kitchen,Kitchen&HomeAppliances,649.0,999.0,35.0,3.6,4.0,350.0,mid,medium,low,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/411S8WHOsXL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Portable-Rechargeable-Smoothies-Vegetables-BOTTLE/dp/B0BL3R4RGS/ref=sr_1_415?qid=1672923613&s=kitchen&sr=1-415,1,32.14859423018096
B0B7L86YCB,Green Tales Heat Seal Mini Food Sealer-Impulse Machine for Sealing Plastic Bags Packaging,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,Home&Kitchen,Kitchen&HomeAppliances,161.0,300.0,46.0,2.6,24.0,139.0,budget,medium,low,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/411NB1EXJNL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Green-Tales-Sealer-Impulse-Machine-Packaging/dp/B0B7L86YCB/ref=sr_1_383?qid=1672923611&s=kitchen&sr=1-383,1,26.48805073667015
B09ZVJXN5L,"KNYUC MART Mini Electric Handy Room Heater Compact Plug-in, The Wall Outlet 400 Watts, Handy Air Warmer Blower Adjustable Timer Digital Display","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",Home&Kitchen,"Heating,Cooling&AirQuality",778.0,999.0,22.0,3.3,8.0,221.0,mid,medium,low,https://m.media-amazon.com/images/I/41EFR4bxzeL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/KNYUC-MART-Electric-Compact-Adjustable/dp/B09ZVJXN5L/ref=sr_1_403?qid=1672923612&s=kitchen&sr=1-403,1,26.42490482949973
B0BFBNXS94,"Personal Size Blender, Portable Blender, Battery Powered USB Blender, with Four Blades, Mini Blender Travel Bottle for Juice, Shakes, and Smoothies (Pink)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,Home&Kitchen,Kitchen&HomeAppliances,669.0,1499.0,55.0,2.3,13.0,830.0,mid,high,low,https://m.media-amazon.com/images/I/417TQs3uroL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Personal-Blender-Portable-Battery-Smoothies/dp/B0BFBNXS94/ref=sr_1_261_mod_primary_new?qid=1672923605&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-261,1,23.171413559667698
B0BPJBTB3F,Khaitan ORFin Fan heater for Home and kitchen-K0 2215,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",Home&Kitchen,"Heating,Cooling&AirQuality",1299.0,2495.0,48.0,2.0,2.0,1196.0,mid,medium,low,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31B8Pd1SmLL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Khaitan-ORFin-heater-Home-kitchen-K0/dp/B0BPJBTB3F/ref=sr_1_326?qid=1672923609&s=kitchen&sr=1-326,1,12.76595744680851
B08L12N5H1,"Eureka Forbes car Vac 100 Watts Powerful Suction Vacuum Cleaner with Washable HEPA Filter, 3 Accessories,Compact,Light Weight & Easy to use (Black and Red)","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",Home&Kitchen,Kitchen&HomeAppliances,2099.0,2499.0,16.0,,992.0,400.0,premium,low,medium,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41lZEy8e9DL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Eureka-Forbes-Vacuum-Cleaner-Washable/dp/B08L12N5H1/ref=sr_1_295?qid=1672923607&s=kitchen&sr=1-295,1,
B0B94JPY2N,"Amazon Brand - Solimo 65W Fast Charging Braided Type C to C Data Cable | Suitable For All Supported Mobile Phones (1 Meter, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Computers&Accessories,Accessories&Peripherals,199.0,999.0,80.0,3.0,,800.0,budget,high,,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41Vpx5MVtaL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Amazon-Brand-Charging-Suitable-Supported/dp/B0B94JPY2N/ref=sr_1_444?qid=1672909146&s=electronics&sr=1-444,1,
B0BQRJ3C47,"REDTECH USB-C to Lightning Cable 3.3FT, [Apple MFi Certified] Lightning to Type C Fast Charging Cord Compatible with iPhone 14/13/13 pro/Max/12/11/X/XS/XR/8, Supports Power Delivery - White",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Computers&Accessories,Accessories&Peripherals,249.0,999.0,75.0,5.0,,750.0,budget,high,,https://m.media-amazon.com/images/I/31-q0xhaTAL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/REDTECH-Lightning-Certified-Charging-Compatible/dp/B0BQRJ3C47/ref=sr_1_491?qid=1672909149&s=electronics&sr=1-491,1,
